time,flux,flux_err
1791.5147368532014,0.9095466,0.00047231498
1791.5355708040609,0.9131628,0.00047331312
1791.556404753989,0.9188297,0.0004737446
1791.5772387025204,0.9245449,0.00047489142
1791.5980726501205,0.9299976,0.0004758281
1791.6189065963224,0.93687165,0.00047674056
1791.6397405415942,0.94371176,0.00047830635
1791.660574485469,0.9485702,0.00047869002
1791.6814084288778,0.9558537,0.0004799818
1791.702242370424,0.96075773,0.00048064004
1791.7230763115047,0.9670824,0.00048150928
1791.7439102511883,0.9726329,0.00048263028
1791.76474418994,0.9775902,0.0004832753
1791.7855781272954,0.98194647,0.00048383942
1791.8064120637193,0.9859299,0.00048455465
1791.827245999212,0.9909042,0.0004853266
1791.8480799337733,0.99331486,0.00048581316
1791.8689138674033,0.99568665,0.00048602145
1791.8897477996366,0.9984471,0.00048697577
1791.9105817309385,0.99967194,0.0004867855
1791.9314156613088,0.99957305,0.00048686724
1791.952249590748,0.99929196,0.00048701715
1791.9730835192556,0.99717045,0.00048681424
1791.993917446366,0.99525833,0.00048647943
1792.014751373011,0.9931571,0.00048624774
1792.035585298259,0.9893586,0.00048570326
1792.0564192225759,0.98558974,0.00048516825
1792.0772531459613,0.9813378,0.00048475055
1792.0980870688811,0.97802675,0.0004844843
1792.118920990404,0.971222,0.00048369978
1792.1397549109956,0.9660972,0.00048231552
1792.160588830656,0.9598963,0.00048175824
1792.1814227493849,0.95531267,0.00048098434
1792.202256667183,0.9477172,0.00047991902
1792.22309058405,0.9414405,0.00047894166
1792.2439244999848,0.93539214,0.00047855292
1792.2647584149884,0.9285871,0.00047706984
1792.2855923290608,0.9221726,0.0004765779
1792.306426242202,0.9184986,0.00047578852
1792.3272601544115,0.9129325,0.00047497315
1792.3480940661555,0.9081155,0.00047453633
1792.3689279765024,0.90448546,0.00047386775
1792.3897618859176,0.9008638,0.00047330803
1792.4105957948675,0.8992895,0.0004730318
1792.4314297028861,0.8967806,0.0004726767
1792.4522636095078,0.8941936,0.00047250718
1792.4730975156638,0.8939853,0.00047241873
1792.4939314208884,0.8922425,0.00047235508
1792.514765325182,0.8923459,0.00047206125
1792.53559922901,0.89284873,0.00047216797
1792.5564331314406,0.8931512,0.00047205936
1792.5772670334056,0.8946207,0.0004727316
1792.5981009344393,0.89588493,0.00047281917
1792.6189348345417,0.8959675,0.00047259175
1792.6397687337137,0.89770746,0.00047268785
1792.6606026319535,0.8992758,0.00047335832
1792.6814365297275,0.9007237,0.00047348172
1792.7022704261046,0.90032125,0.00047324406
1792.723104322016,0.9032057,0.0004737393
1792.7439382169962,0.9037172,0.0004738652
1792.7647721115109,0.904809,0.00047403912
1792.7856060050942,0.9051194,0.00047408542
1792.8064398972804,0.9061051,0.00047416543
1792.8272737894665,0.90528375,0.00047400326
1792.8481076802557,0.9056571,0.0004739914
1792.8689415705792,0.9049365,0.0004740627
1792.8897754595057,0.9034469,0.00047377957
1792.9106093484324,0.9019561,0.0004736831
1792.9314432359622,0.90160745,0.00047341464
1792.952277123026,0.89942056,0.00047309668
1792.9731110091586,0.89623016,0.00047270767
1792.9939448943599,0.89514506,0.00047253794
1793.0147787790954,0.8917246,0.00047214227
1793.0356126629006,0.89050686,0.0004718716
1793.0564465457735,0.8872095,0.0004715457
1793.077280427715,0.88602585,0.00047128854
1793.098114309191,0.8826629,0.00047068144
1793.1189481902013,0.88199526,0.00047085725
1793.1397820698146,0.88092536,0.0004704776
1793.1606159489625,0.87856454,0.00047021173
1793.181449827179,0.87808156,0.00047015413
1793.2022837049296,0.87836576,0.00047015757
1793.2231175812833,0.8784719,0.00047026612
1793.243951457637,0.8785455,0.00047118976
1793.2647853325946,0.88020825,0.0004708216
1793.2856192070856,0.88229555,0.00047080818
1793.3064530806453,0.8842041,0.00047114008
1793.3272869537393,0.88785475,0.00047163677
1793.348120825902,0.89153504,0.0004723399
1793.368954697599,0.89635736,0.0004732188
1793.3897885678994,0.89958197,0.00047323984
1793.4106224381997,0.90585375,0.00047425667
1793.4314563071027,0.91140145,0.00047498895
1793.4522901755408,0.91693157,0.00047579096
1793.4731240430472,0.9220745,0.00047652694
1793.4939579100876,0.92925054,0.0004777079
1793.5147917761967,0.9354016,0.0004786806
1793.5356256418402,0.9416771,0.00047927437
1793.5564595065532,0.9477311,0.0004800403
1793.577293370334,0.9534393,0.00048085526
1793.5981272336492,0.9597923,0.00048200757
1793.618961096033,0.9679961,0.0004834594
1793.6397949579512,0.972405,0.0004835782
1793.660628818938,0.97721624,0.00048438695
1793.6814626794592,0.98179233,0.00048535306
1793.7022965385843,0.9872969,0.00048625676
1793.7231303977085,0.99086124,0.00048689704
1793.7439642559013,0.9942619,0.0004872624
1793.7647981131638,0.99680954,0.00048711273
1793.7856319699606,0.9990467,0.0004877864
1793.8064658258256,0.99988776,0.000487637
1793.8272996807589,1.0000967,0.0004873983
1793.8481335352267,1.0008596,0.00048806457
1793.8689673892288,0.99857277,0.00048731337
1793.8898012422994,0.99775726,0.0004872157
1793.9106350944394,0.9949634,0.00048679792
1793.9314689461132,0.9931869,0.00048663476
1793.9523027973212,0.98891324,0.00048601686
1793.9731366475978,0.98515403,0.00048532765
1793.9939704969431,0.97916317,0.00048456746
1794.0148043458237,0.97450656,0.00048399958
1794.035638193772,0.9695068,0.00048333846
1794.0564720412547,0.9638542,0.00048244355
1794.0773058878067,0.95645064,0.00048155378
1794.0981397338926,0.9508553,0.00048098504
1794.118973579047,0.9441256,0.00047963666
1794.1398074237356,0.9379448,0.00047875574
1794.160641267493,0.9311128,0.00047788618
1794.1814751107856,0.92502004,0.00047696242
1794.202308953146,0.9208599,0.00047724377
1794.2231427950408,0.9153565,0.00047554602
1794.243976636005,0.91058654,0.00047509163
1794.2648104765028,0.90613633,0.000474086
1794.2856443160692,0.9027121,0.00047372654
1794.30647815517,0.8995623,0.00047375486
1794.3273119933394,0.8976245,0.00047331268
1794.3481458310441,0.8951548,0.00047276018
1794.3689796678166,0.8947241,0.00047257316
1794.3898135041234,0.8934015,0.00047260697
1794.4106473394997,0.89306134,0.00047224588
1794.4314811744096,0.8931917,0.00047243992
1794.4523150088537,0.8932351,0.00047238005
1794.4731488423674,0.894116,0.00047241562
1794.493982674949,0.8951097,0.00047257033
1794.5148165070648,0.8967027,0.00047281993
1794.5356503387156,0.897823,0.00047297293
1794.5564841694347,0.89819455,0.00047303867
1794.5773179992223,0.9006704,0.0004739074
1794.5981518285441,0.9017898,0.00047372363
1794.6189856574003,0.9028225,0.00047370925
1794.6398194853261,0.9046943,0.00047403332
1794.6606533127854,0.9047392,0.0004739403
1794.6814871393133,0.905909,0.00047409048
1794.7023209653764,0.9059739,0.00047405937
1794.723154790973,0.906224,0.0004744849
1794.7439886156383,0.90549254,0.00047406155
1794.764822439373,0.9049464,0.00047395038
1794.7856562626414,0.9052844,0.00047397544
1794.806490085444,0.90308523,0.0004737669
1794.827323907316,0.90085477,0.00047361158
1794.8481577287223,0.8998879,0.00047305954
1794.8689915491966,0.897049,0.00047278617
1794.8898253692053,0.8959996,0.00047252976
1794.9106591887492,0.8938419,0.00047243477
1794.9314930073608,0.89020616,0.00047172242
1794.9731606422567,0.8868646,0.00047139655
1794.9939944590058,0.88353467,0.00047088577
1795.0148282748235,0.8823839,0.00047077317
1795.0356620901764,0.8806289,0.00047049538
1795.0564959050628,0.8795369,0.0004704792
1795.0773297190178,0.878551,0.00047024127
1795.0981635325081,0.8784951,0.00047042166
1795.1189973450662,0.8783971,0.00047042762
1795.139831156693,0.8796332,0.00047042113
1795.1606649683206,0.8800782,0.0004702446
1795.1814987790165,0.88191426,0.00047092905
1795.2023325887808,0.8847077,0.00047120824
1795.2231663980795,0.8882204,0.00047169832
1795.2440002069127,0.88999593,0.0004720185
1795.2648340152798,0.8947771,0.0004725785
1795.2856678222502,0.8999549,0.00047331955
1795.306501629221,0.904633,0.0004740525
1795.3273354352607,0.9105127,0.0004752205
1795.3481692408345,0.91607153,0.0004756718
1795.369003045477,0.9214506,0.00047652633
1795.389836849654,0.92769665,0.00047750937
1795.410670652899,0.9339456,0.0004783552
1795.4315044556781,0.93976754,0.00047932545
1795.4523382579926,0.9468465,0.00048004245
1795.4731720593752,0.9524703,0.00048151158
1795.4940058602917,0.9592744,0.00048175527
1795.5148396607428,0.96527946,0.0004828563
1795.535673460263,0.97010434,0.00048385406
1795.556507259317,0.9751747,0.0004842089
1795.5773410574398,0.98136604,0.00048523676
1795.5981748550973,0.9862094,0.00048580332
1795.6190086522895,0.990042,0.0004862481
1795.6398424485494,0.99265546,0.00048680534
1795.660676243878,0.9967567,0.0004876466
1795.6815100392075,0.99887,0.0004873995
1795.7023438336053,0.9999274,0.0004877346
1795.723177627537,1.0010645,0.0004883844
1795.7440114205376,1.001107,0.00048790706
1795.7648452130727,0.99978274,0.00048799327
1795.785679004677,0.9982345,0.00048740537
1795.8065127958146,0.99655527,0.0004874855
1795.8273465864866,0.99425864,0.0004877544
1795.8481803762281,0.9896497,0.00048644943
1795.8690141655038,0.9867792,0.00048623318
1795.8898479543134,0.98153484,0.0004851278
1795.9106817421914,0.9765966,0.00048446175
1795.9315155296042,0.9703425,0.00048366003
1795.9523493165518,0.9644805,0.00048321194
1795.9731831025672,0.9588554,0.00048241264
1795.994016888117,0.9529034,0.0004812622
1796.0148506727362,0.9467746,0.0004804297
1796.0356844568898,0.9401104,0.00047951817
1796.056518240577,0.9335347,0.00047847306
1796.0773520233327,0.92759603,0.00047754392
1796.0981858056234,0.9221991,0.00047668358
1796.1190195874485,0.91643804,0.0004758933
1796.1398533683416,0.9125234,0.00047531023
1796.160687148769,0.90802294,0.00047497198
1796.181520928266,0.90324074,0.00047408955
1796.2023547072974,0.9006262,0.00047363632
1796.2231884858627,0.8982122,0.000473402
1796.2440222634964,0.8956788,0.0004731777
1796.26485604113,0.8950592,0.0004727636
1796.285689817367,0.89363664,0.00047291166
1796.3065235936044,0.8927086,0.00047234385
1796.3273573689096,0.89324254,0.00047266332
1796.3481911432834,0.89355016,0.00047262746
1796.3690249176582,0.89396554,0.0004727622
1796.3898586911014,0.8948409,0.0004728557
1796.4106924636133,0.8965061,0.00047354607
1796.4315262361245,0.8972884,0.00047312723
1796.4523600072387,0.8985249,0.00047346528
1796.4731937783538,0.9000963,0.00047382046
1796.4940275485376,0.9014306,0.00047377503
1796.5148613182553,0.90283626,0.00047410585
